關鍵字,選區,編號,姓名,政見
公園,[直轄市議員]臺北市第4選舉區,6,林亭君,"一、嚴正譴責現任政府造成臺灣世代對立，希冀縮減退休者與青壯年工作者產生的隔閡。改善現有老人福利：1.放寬敬老悠遊卡及愛心悠遊卡480點的使用範圍，「以使用率」評估逐年增加愛心點數。2.臺北市立運動中心皆須配有至少一位「專業防護員」指導老人家運動、健身。3.高齡友善門診適用者年齡由80歲調降至70歲。二、維護婦幼權益，為孕婦、幼兒爭取應有的社會資源：1.持續爭取「好孕專車」，拒絕社會局將「育兒」福利充當「孕婦」福利。2.重視校園兒童安全，拒絕取消「護童專案」。3.建置資訊透明、完整的保母媒合平台。4.要求勞動局、社會局、警察局建立安全、保密的職場性騷擾通報系統。5.台北市私立托育機構未加入中央準公共化托育政策前，確保台北市幼托補助不打折。三、維護、建設中山、大同區地方繁榮：1.加速北大同都市更新，協助、協調土地擁有者參與都市更新。2.藍色公路定期疏濬，監督水利處務必善盡整治淡水河之責。3.督促捷運民生、沚止線通車。4.活化市有閒置財產，釋出公有建築、土地等供民間租賃使用。5.增設公共綠地，支持松江變電所用地回復為公園用地。四、落實居住正義，拒絕透過口號挑動階級對立，透過實際重整、規畫達成台北居更容易：1.督促都發局將包租代管政策規劃更完善。2.研擬刺激、提高 3萬9千空戶屋主釋出意願的政策，以減低市府興建公宅的公務預算，讓公宅的預算注入其他弱勢福利、長照中心的興建，譬如喜憨兒小作所、遲緩兒日間照顧中心、日間托老中心等社福設施。3.以既有住戶意見為興建公宅企劃主要依歸。五、倡導動物平權的教育觀念，力促台北成為友善動物的國際都會城市。1.國中小加入生命教育課程，學習正確對待生命，與大自然萬物和諧共生，從善待動物開始培養同理心、善心。2.推行假日友善狗狗巴士，廣增友善狗狗巴士路線及班次，讓飼主與各類型寵物都能免裝籠搭乘巴士暢遊台北市。3.廣設狗狗運動公園，讓動物有更寬廣的空間活動。"
公園,[直轄市議員]臺北市第4選舉區,9,黃麗香,"1、無黨執行服務-還給全民真自由
2、監督市容，推動林森公園綠能計畫，改善老屋重建，成立專案小組優先執行。
3、落實教育升學優質化，及校園閒置空間設計再利用。
4、推動大稻埕觀光全新面貌，將古蹟與現代藝術結合，設立公園綠能圖書館，推動戶外閱讀教育。
5、定期舉辦青年創業講座及輔導補助列車。"
公園,[直轄市議員]臺北市第4選舉區,3,潘翰疆,"樹黨是「全球綠黨聯盟」正式成員，要讓《全球綠人憲章》六大核心價值，生態智慧、社會正義、參與式民主、非暴力、不犧牲後代的永續、尊重多元，在台灣扎根並開枝散葉。我要做專業監督的在野黨議員，不論誰當選市長，都讓他變成環保市長：
一、護樹悍將，綠色首都
●保護老樹，容積獎勵；傷害老樹，禁止投標。
●拆除新生高架橋，重現崛川北河段，藍帶和綠帶的慢活價值。
●遷移松山機場，創造首都中央公園。監督中山女高南側大都更案。
●淡水河岸以都市更新方式跨越河堤，創造水岸生活，復興大稻埕。
二、翻轉教育，創新首都
●畢業典禮及運動會禁止政治人物及黑道頒獎致詞，把教育還給孩子。
●建立技職學校與地方商圈、自造者、新創產業圈之鍵結。
●推動自由軟體，開放源碼，使教學更開放更多元，省下更多教育經費，來提昇學生的營養午餐品質。
●中學允許認列部分線上學習學分數，讓學習不再侷限大眾步調，自主學習不是夢。
三、保護環境，生態首都
●反對深澳燃煤電廠，落實節能低碳城市，老舊核一核二廠加速除役。
●保護生態棲地，減緩熱島效應。
●扶植社會創新與共享經濟，推動社區貨幣。
四、責任生活，幸福首都
●強力監督動保法及自治條例，在建立動物保護專責警察前，依照動保法儘速設置動物保護稽查員，擴大編制與職權。
●課徵寵物交易捐，專款專用於動物保護相關政策，保障動物的生命權利。
●蔬食友善城市：鼓勵民間餐廳提供蔬食選擇；政府舉辦活動，應有五分之一以上為蔬食。
●推動無基改城市，並落實公平貿易城市(台北市已簽署)。
●擴大勞檢員及執法效能，公布違反勞動、社會、環保法令之企業，重大及累犯者列入市府購及公共工程黑名單。
五、從根治理，幸福首都
●設置賭癮、酒癮及暴力防治中心，並鼓勵民間創設非營利機構，從源頭處理賭害、酒駕及家庭暴力事件。
●各行政區至少應有一座家庭諮商及心理諮商資源/支援中心。
●溯及既往公布歷年所有環評、都計、都更、都設、樹保、文資等委員會相關文件、會議記錄及投票紀錄，以環境與社會的轉型正義，處理違法不正義之開發案。任何政府公開之資訊須為可搜尋之格式，而非妨礙分享之圖片檔或封閉格式。幫不能講話的老樹投一票，幫動物們投一票，為還不能投票的孩子投一票！樹黨進議會，樹立新議會。"
共融,[直轄市議員]臺北市第4選舉區,14,顏若芳,"(1)家庭真幸福　　提升幼兒醫療、托育功能，社會政府合力照護下一代，減輕年輕人負擔
(2)長青無憂慮　　完善長照規劃，協助照顧者，關心老人家
(3)年輕有未來　　支持百業多元發展，監督公宅進度，提供青創圓夢資源
(4)食在好安心　　擴大食安稽核與推廣，提升營養午餐品質與結合預防醫療
(5)生活無障礙　　推動建置共融環境，貼心照護小孩、長者、孕婦、身障者，建立核心價值，讓政策更完善
(6)永續友善城市　促進環保減碳政策，尊重生命守護毛小孩，推廣領養代替購買觀念的落實
(7)建立安全城市　強化防災互助建構社區自救體系，推廣居家三日防災儲備提升市民應變能力"
公園,[直轄市議員]臺北市第5選舉區,2,伍大辰,"【生活城市】建立人文產業
壹、市民直播劇場 Taipei Show
一、個人都是城市主角；各場都是文創事業。
二、活化公共空間，打造四機直播環境並添加AR特效。
三、市府攜手議會，建置市民影棚、公共收播系統及市民手機電視台。
四、結合表演藝術、共享經濟及數位多媒體科技，推廣直播文化；促進影視音文化匯流，發展市民人文產業。
五、設置直播事業研發訓練機構，輔導青年及藝文人士新創就業。
六、初期示範地點：新公園露天音樂台、中正紀念堂廣場（大廳）、南海學園（植物園）、台大椰林大道。
貳、台北空中書店街 & 空中電影街
一、你我都是城市觀眾。
二、重塑書香及電影文化，打造「文青城市」空中書店街及空中電影街；區內免費上網，免費閱覽最新出版品、首輪院缐片。
三、結合街道傢俱及騎樓空間或沿街店舖，建置公共閱讀休憩空間，吸引文化及休閒購物人口，帶動周邊消費商機。
五、初期示範地點：重慶南路、衡陽路口周邊書店街。
【生計城市】促進庶民經濟
參、打造情趣文化專區
一、開發「神秘黑夜」資源，打造情趣一條街，建立台北多元文化與深夜商機。
二、專區內開放情趣裝置藝術及情趣商品展示。
三、開放情趣街頭藝人證照，制訂情趣街頭表演規範，打造情趣文化環境。
四、定期舉辦星光皇后選美活動，以專區購物發票做為入場券及選票，帶動觀光休閒商機刺激消費。
五、台北市情趣文化專區初期示範地點：華西街
肆、台北影視音後製基地
一、活化公有閒置空間，提供獎補助機制鼓勵影視音後製業者進駐，建立一條龍生產線。
二、輔導業者建立服裝道具共享機制，設置劇物展、租、售中心。
三、結合媒體科系與相關業界，推動特效造型與視覺特效研發建教合作。
四、初期示範地點：剝皮寮歷史街區、紅樓八角樓、台大創新育成中心。"
公園,[直轄市議員]臺北市第5選舉區,10,吳志剛,"人文中正  活力萬華
1.加速老舊社區都市更新，讓您過得更好
2.強化弱勢族群照護福利，加強銀髮族安養扶助
3.落實敬老社會政策；建立公平和諧、福利社會
4.保障婦女權利，貫徹兩性平等
5.推動無障礙空間環境，爭取身心障礙者工作權
6.強化社區治安聯防與社區整體營造
7.加速傳統市場更新與鄰里公園改造，都市機能再升級
8.配合都市更新設計發展主題商圈、促進觀光夜市國際化
9.成功爭取忠孝橋引道及中正橋引道拆除，把天空還給市民，讓重慶南、汀洲繁榮再現"
公園,[直轄市議員]臺北市第5選舉區,17,周威佑,"一、公平正義的社會：打擊特權、揭發弊案；捍衛勞工權益、減少政府人力外包比例、替弱勢者爭取公平正義。
二、健康的居住品質：面對中正、萬華高齡化趨勢，提升社區醫療資源、推動安養政策、持續爭取廣設公園綠地、改善河濱公園為防洪兼生態親水空間。
三、便利的交通設施：無障礙設施普遍化、生活化，讓身障者、婦幼、老人行動更安全。推動萬大線加速施工，建構中正萬華地區完善捷運接駁系統，騎樓淨空並增設停車空間、減少拖吊。
四、窳陃地區速更新：加速中正萬華老舊眷村改建，增建平價國宅、青年住宅。搶救即將消失的傳統市場、輔導攤販成具有特色的觀光產業。
五、安全的生活空間：警力結合民力，強化義警、民防、社區巡守功能，全面裝設社區監錄系統、堅持警察勤務正常化。
六、優質的教育環境：落實改革教育、減輕學子升學壓力、持續關注學童營養午餐品質。推動幼托合一、托育社區化、廣設完全中學、社區中學。
七、無憂無慮的生活：落實社會福利制度、照顧老人、兒童、身心障礙者、中低收入戶、外藉配偶、單親媽媽，以社會福利政策改善弱勢族群生活。"
共融/遊戲,[直轄市議員]臺北市第5選舉區,15,徐立信,"一、「台北監督連線」民生第一4大主張
1.推動公共托育：增加公共托嬰設施、公立與非營利幼兒園，減輕家長負擔。
2.保障青年樂業：提高青年創業貸款額度；擴大企業實習策略聯盟。
3.廣建公共住宅：公共住宅結合公共與社福設施，打造特色公宅；加速危老建築重建；提升社會住宅戶數。
4.增設樂齡照護：推動65歲以上長者免繳健保費、掛號費，並擴大敬老卡使用範圍；透過關懷據點量能提升、增加日照中心、擴大石頭湯據點，完善長照機制。
二、個人政見：支持柯文哲市長推動「開放政府、全民參與、公開透明、務實對話」光榮城市的進步價值。
1.支持財政紀律、支持使用者付費理念，反對債留子孫。
2.支持公開透明原則，重大工程招標評選委員須事先公布名單，並加入公民參與機制。
3.支持都審、都更、環評、文資及各項審議委會須開放旁聽、錄音錄影、網路直播…等公開透明，供民眾參與。
4.支持議會總質詢須上網直播，首長施政報告文件需全數上網公告；市政會議紀錄及首長行程應公開上網登錄。
5.支持建立共融式遊戲場；爭取增設河岸行人及單車空橋通道，跨越中和、板橋、三重等區，拓展市民休閒空間。
6.爭取開設勞工通識課程，提供勞工權益、職業安全衛生等教育訓練，以提升職場環境安全衛生及勞僱和諧。
7.爭取市府逐年編列預算，淨化美化小街及巷弄，以改善巷弄市容、提升市民生活環境。
8.爭取松山機場遷移，立法院及行政院設置該處，解決長期陳抗擾民，還給當地居民安寧生活空間。"
共融/公園/遊具,[直轄市議員]臺北市第5選舉區,13,劉耀仁,"1.	針對萬華中正特色商圈，推動轉型再升級，並提升環境友善服務
2.	推動艋舺城市尋寶計畫，串連在地商圈及文化景點人潮
3.	加速公辦都更案進度，爭取新店溪、淡水河、基隆河岸窳陋地區為都市更新專區，立專法專用，提高更新誘因
4.	提升公宅公共服務內容，如：公共保母、托育中心等…
5.	強化智慧運輸系統，提升北市大眾運輸轉乘便利性及可近性
6.	持續推動萬華中正特色公園及增設共融式遊具
7.	增設非營利性幼兒園
8.	支持居住正義，持續推動多元公宅廣建
9.	推動議會透明化，委員會全程直播"
共融/遊戲,[直轄市議員]臺北市第5選舉區,9,蔡宜珊,"城市的夢想，是透過公民力量集體來產生，要求政治人物實踐我們的夢想，不是去實現政治人物自己的夢想。蔡宜珊長期的公民運動經驗，將結合學者、專家與公民團體力量，透過公民參與、願景勾勒、監督市政，來打造一閃一閃亮晶晶的魅力中正、萬華新空間，讓在地人對在地歷史空間的夢想和情感，得以被擦亮和喚醒。
政見一、推動幼教國教化，讓私立、非營利、公立幼兒園學費一律平價平等。
政見二、將國中小、高中職、市立大學因少子女化而閒置的一至三樓空間，透過公正第三方確實進入校園清點，供托老、托幼、托嬰之用。
政見三、台北市3-6歲幼兒約10萬人，市府承諾7成小朋友皆有公共化幼兒園可讀，但目前僅有2萬公幼，尚缺5萬名額，要求市政府訂出明確落實公私幼7:3的具體時程表，以達到人人免抽籤皆可進公幼。
政見四、建構社區互助循環照顧系統，老弱幼婦能相互照顧；發展豐富有趣的在地銀（髮）生活空間與品味。
政見五、推動已婚婦女、單親者與弱勢者的多元彈性就業環境。
政見六、打造社區人與動物友善環境與生活品質。
政見七、推動中正、萬華區內商圈成為有特色的國際旅遊景點。
政見八、推動公館－古亭水岸藝文生態廊道；重現城南（南門市場到汀州路紀州庵）歷史聚落之文化風情；爭取成立龍口-加蚋歷史文化區。
政見九、推動打開華山－光華商場之間的瑠公圳，建構水岸人文生態空間；以複合式商圈恢復東門市場往日光榮感。
政見十、爭取共融遊戲場，實現兒童人權；持續改善無障礙環境，推動共融城市。"
公園,[直轄市議員]臺北市第5選舉區,11,應曉薇,"1、提案恢復重陽敬老金。
2、反廢死、強化犯罪防治，保障婦女幼兒安全。
3、嚴格取締酒駕，輔導受刑人、更生人。
4、提案設立台北市青年創業基金。
5、爭取放寬清寒補助條款、提高急難救助金。
6、監督南門市場、環南市場、第一果菜市場改建工程如期完工。
7、監督萬大捷運線、雙子星大樓如期完工。
8、積極推動老舊城區公辦都更，打造「水岸萬華」，帶領西區翻轉讓萬華告別落後。
9、改造艋舺公園，輔導與安置遊民以繁榮地方。
10、持續協助弱勢家庭、保護受虐婦幼。
11、關懷新住民。

應曉薇腳踏實地走過21年公益路、揭發臺灣聯開史上最大金額太極雙星詐騙案，成功為市民把關700億。城市問題源自於多年來未曾改變的地方政策，因此懷抱理想，擔任職稱的市議員，希望為市民爭取更大的福利。未來應曉薇將落實參選政見，並以多年所看、所學，帶領中正、萬華區的市民有權利過的更好。"
公園,[直轄市議員]臺北市第5選舉區,14,鍾小平,"鍾小平在任內推動容積銀行政策，於103年正式啟動，實現增額容積利益回歸全體市民。104年擔任工務委員召集人通過公共住宅預算，推動公宅建設，辦理老舊社區的都市更新說明會，讓需要都更的住戶能夠進入實質的都更行政程序。
推動中正萬華運動及休憩設施的更新、青年公園及河濱公園自行車道建立、數位公車亭更新及青年公園長者通行安全示範區計畫，並替紀州庵文學森林爭取預算經費，讓中正萬華更新成更具休閒、文創藝術的居住環境。放寬容積、城市創富、政府有能，再造經濟奇蹟。
一、推動都市更新，放寬容積，增加樓地板面積，讓老舊社區更有都市更新意願並拆除釘子戶。
二、市有土地活化，建構青年住宅，完成青年住者有其屋。
三、開發台北市市有土地，依法徵收閒置土地，徵收空地稅，創造市庫收入，推動市政建設及社會福利。
四、主張廢除12年國教入學方式，恢復基測，減輕學子痛苦。
五、主張立刻發放1,500元重陽敬老津貼。
六、將柯文哲市長只租不賣的公共住宅改成只賣不租的青年住宅。"
公園,[直轄市議員]臺北市第6選舉區,5,王欣儀,"沒有假政見，只有真實現！
持續秉持「認真問政」「用心服務」「勤走基層」的初心，把關市民安全，爭取弱勢權益、興利地方建設！
【俠女出手，政績一流！】
1.	學童搭乘捷運享6折優惠，嘉惠雙北33萬兒童、家庭！
2.	Youbike首創開辦第三人責任險，事故不再求償無門！
3.	推動完成食安修法，北市禁輸日本核災食品，防堵瘦肉精豬肉！
4.	提案、質詢應恢復敬老禮金，揭發柯P爸媽在新竹也領！
5.	要求增設公幼並爭取到私幼學費補助向下延伸到3歲！
6.	突破萬難打造首座捷運出口電扶梯後，陸續全面增設，落實友善無障礙！
7.	成功達成老舊公寓附掛電梯、外牆剝落修繕及拉皮費用補助，降低申請同意標準、快速通關！
8.	校校有冷氣、提昇學習力！校園全面電源改善，公平就學正義！
9.	汰換多處自來水鉛管、老舊瓦斯管線，「文山高地社區」自來水管線更新！
10.	多年努力，終結文山區淹水惡夢！揭發遏阻滯洪池公宅違法共構，如期運轉！
11.	大安區「成功市場」違建改建成真！力保新「市立圖書館」留在大安區！
12.	保障公宅周遭權益、改善交通問題，力促「捷運南環線」進度！
13.	改善「辛亥隧道」噪音、照明；拆除辛亥、興隆路口蚊子陸橋，還景於民！
14.	改善「大安森林公園」無障礙環境，提供乾淨生飲台、哺乳室、槌球場等！
15.	排難解紛已將「萬隆東營區」變成「綠園地」！未來將改建為結合銀髮、身障、幼兒園、托嬰等的「文山社福旗艦園區」，預定111年啟用。
16.	不斷修繕整飭「興隆公園」，還將全面更新改造成結合地方文史與生態的都市公園新典範！
17.	更新美化「景美溪河堤」壁體，增設「道南河濱公園」網球、籃球場！"
共融/公園/遊戲,[直轄市議員]臺北市第6選舉區,19,李慶鋒,"一、堅持專業問政，進行有效監督。
二、政府資訊應公開透明、限時上網，重大施政與重要委員會應強化公民參與，落實審議民主。
三、整合檢討大眾運輸路網，優化捷運、公車與Youbike的營運效率與乘車環境，並透過多元票價、消費回饋等政策提升綠運輸率。
四、以多元政策改善都市居住問題：新建公共住宅應同時改善周邊環境並引進社福設施；市府參與都更或捷運聯開分回建物應優先提供作為公共住宅；公共住宅全面適用租金分級補貼。
五、守護文化資產，協助市府與民間進行文化資產保存與活化。
六、要求市府重視0到5歲幼托資源，減輕家長負擔、保障教保人員勞動權益、確保嬰幼兒收托品質。
七、爭取長者福利，落實長照政策、改善長者生活環境。
八、監督市府持續執行動物友善城市政策，健全動物保護安全網。
九、爭取共融遊戲場，實踐兒童人權；改善無障礙環境，推動共融城市。
十、改善河川水質，進行水域再生（例如瑠公圳），營造兼顧防洪、生態與人文的親水空間。
十一、輔導鼓勵企業與民眾減少使用塑膠製品，減少塑膠垃圾的產出。
十二、督促市府盡速興建捷運環狀線南環段與東環段，串連新店、景美、木柵、信義生活圈，增進文山區交通便利性。
十三、強化新建音樂圖書中心及空總基地空間之公共性，整合大安森林公園、永康商圈、建國花市玉市，型塑藝文休閒與知識創新的優質生活圈。"
公園,[直轄市議員]臺北市第6選舉區,1,阮昭雄,"安全城市：
1.強化救災據點整備：防災道路、防災公園、防災倉庫、民眾避難場所等，提升安全保障之品質。
2.社區強化自互助能力：建立台灣防災士認證，建構防災社區，推廣居家防災儲備，提升市民防災應變能力。
3.辦理國際防災城市交流：辦理首都圈國際防災城市活動，邀請防災先進國家提供經驗，輪流於北北基桃舉辦。
魅力城市：
4.力促台北爭取亞奧運等大型賽事，台北國際馬拉松邁向國際認證。
5.一商圈一特色，樹立形象，辦理「東區Street Life計畫」振興東區，推廣台北品牌迎向國際。
6.推動成立「青年事務局」。Zoo Mall舊址做複合式青年住宅、政治大學國際學舍等加強台北國際化程度。
7.力促市府積極發展綠色能源，再造能源之丘以響應環保節能減碳。
安居城市：
8.關懷弱勢、身心障礙者、有效利用有聲號誌，塑造台北友善空間。
9.落實推動銀髮族日常和長期的照護制度，擴大銀髮族共餐活動。
10.重罰任意棄養動物者，市府積極辦理宣傳毛小孩領養活動，塑造流浪動物領養文化。
11.嚴格把關食品和藥品安全，讓民眾吃得安心、用得放心。
12.活化閒置空間，讓市民有更多的休閒場所，更可作為青年創業基地，一區一青年會館。"
公園,[直轄市議員]臺北市第6選舉區,17,耿葳,"【以創意改變城市/讓理性重拾力量/用真誠贏回信任】
台北要提升，年輕人挺身，耿葳畢業於師大教育系，在美國約翰霍普金斯大學取得商學碩士，擔任市議員厲耿桂芳助理多年，服務基層深耕地方，鄰里建設親力親為。秉持「青。出於藍」使命和教育人熱忱，憑藉國際視野和年輕的態度與活力，及對土生土長文山大安的熱愛，挺身為保守僵化的政治框架中注入活水，全力扭轉「崩世代」社會問題，阻止國家前途深陷口水惡鬥中內耗殆盡。
「年輕沒有包袱，只有起而行的衝勁！」耿葳相信，唯有理性真誠，才是贏回信任的唯一途徑。讓我們停止謾罵抱怨，放下酸言偏見，跟耿葳一起捲起衣袖，We can find our way !! 
【耿葳政見:確實能實踐，市民看得見，才叫真政見】
1.閒置資源活化要看見：全面檢討閒置空間利用/空地活化公園綠地/隱藏公共資源挖掘改造及結合商業模式老舊再生/社區服務或修繕維護代替租金回饋。
2.多元族群聲音要聽見：增設公托公幼減輕小資家庭負擔/保障弱勢、榮民、軍公教、新住民應有權益/推動制定友善寵物醫療定型化契約/通用設計融入市政建設。
3.智慧城市要擴建：巡迴智慧裝置教學講座/打造數位感應系統便民省錢/區塊鏈結合市政/建置社區型共享平台。
4.扶植青創要實踐：擴增青創基地孵化器/結合大安文山在地大學優勢/公家創投基金入股/受薪階層翻轉。
5.高齡政策要永健：社區型長照人力系統升級/擴大老人共餐點/增設老人日照安養中心/開辦青銀共居。"
共融,[直轄市議員]臺北市第6選舉區,24,陳錦祥,"錦祥擔任六屆二十四年議員以來，自始至終本著「關懷基層、服務鄉里、為民喉舌」的宗旨，以「祇做事、不作秀、歡喜做、甘願受」的原則，無時無刻在服務基層、關心市政，是台北市議會服務基層績效最優的市議員。
1.持續提供免費法律諮詢服務（已連續二十四年無間斷）並在選區繼續設立服務處，排解民怨，整合民意，規劃地方建設。
2.闢建各區運動中心二館，降低收費門檻，打造健康城市。
3.檢討閒置市產，增設一區一特色文化美術館。
4.老屋全面健檢，有耐震疑慮者全面補強，防災都更流程全面簡化。
5.增設平價安養托育中心，老有所終，打造托幼長照共融社區。
6.推動成立首都志工學苑，增進衛教技能，深化社會服務。
7.簡化警察繁雜業務、暢通升遷管道、提升警察士氣、強化社區安全維護及警民良好互動關係。
8.全面提升消防救災裝備及專業訓練，健全防災應變體系；另對本市所有瓦斯管線定期全面檢查，確保民眾安全。"
親子/共融/公園/遊具,[直轄市議員]臺北市第6選舉區,23,鍾沛君,"Caring
●導入大數據，先期規劃可能閒置之校地校舍，擴增嬰幼兒托育及長者照護設施數量、容量，使青壯市民打拚無後顧之憂。
●恢復重陽敬老金，或由市民自由選擇折換銀髮生活商品服務，打造高齡樂活城市。
●台北市立動物園每月增設一天休園日，讓動物、社區、交通都有喘息機會。
Housing
●推動公園0罐頭遊具，廣設共融式遊具，逐步實現一里一特色公園。
●公共住宅應包含現住居民生活所需之服務設施（停車、幼托、長照、運動、親子等），並評估對既有道路、學校、安全等承載能力之影響衝擊，使新舊居民同享其利。
Educating
●推動「共享教育」，放寬自學認證，建立共學空間、師資等軟硬體媒合平台與評價回饋機制。
●在不影響教師員額與授課時數前提下，統合鄰近學校之行政支援部門，以節約重複人力，減少教師需兼任行政人員之負擔。
●於高中職以上校園辦理「工讀」、「實習」等勞教活動講座，增進青年勞動權利義務知能。
Governing
●因應南環線推動興建，提前規劃木柵景美地區入城停車轉運空間與大眾運輸載具路線，最大限度舒緩施工交通黑暗期。
●盤點現有與新建公有市場建物之使用規劃，引進創新與實驗性經營團隊，依社區需求建立個別特色，提升市場商品與環安衛生品質。"
公園,[直轄市議員]臺北市第1選舉區,2,王威中,"【政見應該是為了實踐而存在，爭取連任不該只提出未來願景，更需檢驗過去政績】
上屆選舉，王威中提出了12條政見，當選後每天認真問政服務，將承諾逐一努力做到。很踏實的向大家報告：王威中過去四年政見達成率，是百分之百全達成！特別包括食安、動保、交通、公宅、敬老、婦幼、保護勞工、弱勢等。威中也是這屆士林北投揭弊、打弊最多的議員，表現經得起檢驗，無愧選民託付！歡迎您用手機掃描QR碼，用影片檢驗
王威中這四年來的政績：
政治就是要讓大家的生活變得更好，威中將秉持這樣的信念，繼續推動以改善民生為主的政見－生活有感革新。

◎食安更有感：食安是市民基本要求，也是吸引觀光的基礎。威中已成功將茶飲店及學校營養午餐全面納入食材登錄平台，完善食品溯源。我將再推食材反向查詢功能，有效避免市民誤食已知的黑心食品，並繼續修法完善食安條例。
◎家長更有感：威中已成功推動公立學校課後照顧班一人就開班，照顧孩子至7點，月費最多3000元，遠低於安親班。政府有責任幫助年輕爸媽照顧孩子，威中主張持續增班公共幼托，鼓勵與優質私幼托合作，在逐步公共化過程中減輕家長負擔。
◎動保更有感：友善動物是我們共同的目標。威中已成功增辦流浪動物認養會，並擋下動物之家外包BOT案。未來主張試辦認養接駁專車往返內湖收容所，並效法外國，在市中心設立第二動物之家，有效提升認養率與志工意願。廣設寵物公園活動區，改善現有品質。
◎社福更有感：威中已成功恢復老人免費肺炎鏈球菌疫苗，及大幅增設老人共餐據點，並將免費子宮頸抹片篩檢延伸至30歲以下。除了持續發展長照，我更主張在士林區試點，設立失智症預防及延緩中心，未來普設至各行政區。
◎觀光更有感：台北捷運各站終於有編號，並有多語言售票機，其實這都是威中質詢市長允諾達成，有助吸引外國背包客。台北應發展過境觀光，鼓勵轉機客進台北半日遊；發展北投溫泉文化產業廊道；協助傳統市場發展觀光附加價值。
◎居住更有感：威中一直大力支持增設公宅，並拒簽「反公宅法案」。過去公宅遭到杯葛，被迫自行降低容積率。我將提案公宅蓋好蓋滿，充分利用土地，並推動政府興建公共學生宿舍，幫助抽不到學校宿舍的學生。
◎青創更有感：威中過去推動市府研擬市政應用區塊鏈技術。我將提案成立府級區塊鏈研究小組，在戶政、醫療、智慧城市方面應用。並研擬在士北科技園區內劃出區塊鏈產業專區，爭取市府成立區塊鏈輔導團隊，結合新創育成中心，為青創與產業升級奠基。
◎新住民更有感：新住民人數的增長，體現台灣多元價值。我將推動多設東南亞語文學習班與美食教室，融合新住民與台灣本土文化，激盪新的台灣生命力。

★歡迎加Line好友，搜尋ID：@ntuway，及FB搜尋王威中台北市議員，和威中進一步溝通政見！"
公園,[直轄市議員]臺北市第1選舉區,,林世宗,"一、堅持環保正義：成功爭取焚化廠售電直接回饋居民，每年每戶每人垃圾袋免費。落實監督北投焚化爐燃燒品質，降低空氣污染。推動環保二次袋、推廣環保購物袋，達成限塑減塑，全面汰換老舊垃圾車，降低空污及碳排放，顧士林北投市民的健康，打造宜居永續城市。
二、強化地方建設：監督市府加速社子島整體開發和完善配套措施，落實先安置後拆除與優渥補償政策，捍衛居住正義。加速推動士林北投科技園區及關渡平原生態開發，力爭居民最大權益。
三、促進在地繁榮：推展士林國際觀光夜市再升級，督促台北藝術中心建設進度，打造士林新地標，活化士林捷運站週邊閒置空間，推動舊佳創意文化市集生態商圈，串接士林文化觀光廊道，活絡在地產業，振興在地經濟，展現士林多層次之美。
四、打造友善交通：讓通勤族更便利，任內順利完成北投捷運站第二出口、成功爭取明德捷運站第二出口；為改善在地停車迫切需求，成功爭取文林路/承德路口公園闢建地下停車場、秀山國小長照園區闢建臨時停車場。
五、爭取長者福利：落實長照2.0，擴大老人共餐據點，爭取北投秀山國小長照村儘速完工，要求敬老悠遊卡開放就醫看診，符合長者需求。完成硫磺谷公園泡腳池擴建及公共設施改善，造福更多市民，打造友善老人健康環境。
六、提升教育資源：推動增設公立幼兒園、提高私立幼兒補助，及育兒托嬰各項補助。提升中小學校園用餐環境，全面落實教科書平價化，減輕家長負擔。
七、捍衛居住正義：持續追蹤士北科技園區專案住宅居住品質、嚴格監督奇岩公共住宅工程進度，要求「北投區機一基地」及「士林區福順段基地」公共住宅如期完工，讓青年市民過得安心，住得放心。
八、維護城市治安：要求全市逐步汰換監視系統，升級監視器設備，加強監視器品質及傳輸效率，打造治安零死角。"
公園/遊戲,[直轄市議員]臺北市第1選舉區,,林杏兒,"1.提案並督促市政府恢復重陽敬老金之編列及發放。
2.推動一校一公托，並提議0至5歲免費公托，以減輕家長育兒負擔。
3.積極推動青銀國宅之興建及增設銀髮托老中心。
4.提案增加獎勵文創產業，發展一里一特色，鼓勵終身學習，打造在地文化，再現士林、北投新觀光。
5.建請獎勵企業成立員工專屬托育中心，以減輕父母接送小孩的負擔。
6.推動老屋重建與公辦都更，讓城市翻新，進而提升全民居家安全。
7.邀請專業律師加入服務團隊，開辦免費線上法律諮詢，以減輕民眾舟車勞頓之苦。
8.爭取設立單親家庭免費課後輔導中心，與弱勢家庭餐點補助。
9.積極參與及推動社子島開發案。
10.爭取學校地下室設立公有停車場，以改善社區停車問題。
11.爭取打造寵物友善公園，讓毛小孩有專屬的友善遊戲空間。
12.鼓勵全民志工文化，推動設置社會福利可轉換儲值卡，讓志工累積服務時數。
13.認真審查市政府預算、決算，強力監督市政府財產之經營管理及處分；並審慎審查市政府所屬事業機構之組織章程。
14.出席議會聽取首長施政報告，並提出質詢，成為專職議員；努力不懈，講究效率，全方位為市民服務。"
